SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1643109673.234230, 0.806098, -9.202713, 1.511938, , , , , , 
1643109673.254176, 0.581192, -9.542540, 1.643021, , , , , , 
1643109673.274240, 0.464774, -9.923816, 1.888277, , , , , , 
1643109673.294185, 0.469712, -10.166678, 2.144456, , , , , , 
1643109673.314207, 0.335787, -10.315418, 1.923292, , , , , , 
1643109673.334232, 0.037409, -10.444705, 2.137872, , , , , , 
1643109673.354189, -0.156222, -10.633996, 1.883489, , , , , , 
1643109673.374127, 0.336385, -10.741586, 2.352453, , , , , , 
1643109673.393951, 0.440832, -10.640730, 2.476203, , , , , , 
1643109673.414181, 0.465373, -10.345046, 2.395099, , , , , , 
1643109673.434213, 0.509815, -10.150816, 2.354697, , , , , , 
1643109673.453678, -0.130634, -10.519673, 2.398541, , , , , , 
1643109673.474135, -0.805798, -11.464784, 2.965219, , , , , , 
1643109673.494184, -0.841712, -10.343250, 1.389086, , , , , , 
1643109673.514183, -0.472855, -10.196606, 1.462109, , , , , , 
1643109673.534214, -0.695815, -9.587581, 1.126622, , , , , , 
1643109673.554179, -1.321899, -9.650728, 1.581370, , , , , , 
1643109673.574265, -1.870320, -10.360309, 1.397466, , , , , , 
1643109673.593233, -1.749862, -11.091289, 1.613692, , , , , , 
1643109673.614196, -1.308581, -11.502194, 1.317409, , , , , , 
1643109673.634249, -0.452504, -11.486482, 1.231966, , , , , , 
1643109673.654150, -0.141108, -10.834211, 1.325191, , , , , , 
1643109673.673620, -0.408960, -9.894038, 1.457470, , , , , , 
1643109673.693155, -0.585831, -9.011925, 1.630900, , , , , , 
1643109673.714198, -0.623839, -8.226028, 1.659182, , , , , , 
1643109673.734212, -0.465074, -7.586776, 1.607557, , , , , , 
1643109673.754172, -0.375441, -7.380576, 1.571644, , , , , , 
1643109673.774150, -0.316783, -7.473650, 1.642273, , , , , , 
1643109673.794152, -0.393098, -7.989002, 1.620725, , , , , , 
1643109673.814212, -0.543035, -8.233360, 1.764377, , , , , , 
1643109673.834218, -0.374393, -8.567950, 1.808221, , , , , , 
1643109673.854239, -0.471358, -8.572289, 2.007538, , , , , , 
1643109673.874192, -0.603189, -8.606407, 2.071583, , , , , , 
1643109673.894132, -0.735918, -8.871864, 2.042853, , , , , , 
1643109673.914181, -0.900519, -9.158420, 2.147000, , , , , , 
1643109673.934217, -0.977433, -9.411906, 1.810166, , , , , , 
1643109673.954181, -0.935235, -9.689933, 2.412457, , , , , , 
1643109673.974124, -0.786346, -9.829993, 2.540847, , , , , , 
1643109673.994187, -0.612467, -10.148871, 2.696919, , , , , , 
1643109674.014238, -0.379032, -10.521469, 2.600402, , , , , , 
1643109674.034137, -0.199766, -10.549750, 2.616563, , , , , , 
1643109674.054158, -0.326060, -10.296115, 2.888455, , , , , , 
1643109674.074180, -0.557250, -9.843162, 3.076100, , , , , , 
1643109674.094143, -0.484527, -9.342025, 3.077896, , , , , , 
1643109674.114159, -0.388310, -9.092130, 2.764854, , , , , , 
1643109674.134218, -0.241515, -11.290157, 2.108992, , , , , , 
1643109674.154194, 0.579247, -12.946645, 2.616114, , , , , , 
1643109674.174166, 1.160739, -11.676671, 1.066617, , , , , , 
1643109674.194182, 1.113603, -11.043106, 0.535104, , , , , , 
1643109674.213674, 1.245284, -10.712556, 0.614262, , , , , , 
1643109674.234217, 1.460014, -10.905439, 0.524031, , , , , , 
1643109674.254181, 1.779191, -11.643152, 0.362123, , , , , , 
1643109674.274216, 2.071134, -11.673828, 0.531513, , , , , , 
1643109674.294150, 1.537077, -11.382035, 0.842011, , , , , , 
1643109674.314182, 0.667683, -10.625617, 0.928801, , , , , , 
1643109674.334245, 0.119860, -10.197653, 0.976834, , , , , , 
1643109674.354196, -0.057461, -9.375843, 1.007211, , , , , , 
1643109674.374169, -0.038008, -8.564508, 0.890194, , , , , , 
1643109674.394187, -0.110283, -7.729979, 0.715567, , , , , , 
1643109674.414183, 0.183156, -7.209091, 0.824802, , , , , , 
1643109674.434219, 0.569970, -7.146842, 0.859967, , , , , , 
1643109674.454183, 0.660650, -7.696311, 0.936731, , , , , , 
1643109674.474190, 0.474800, -8.278551, 0.966210, , , , , , 
1643109674.494150, 0.574159, -8.841338, 1.127669, , , , , , 
1643109674.514181, 0.868497, -9.083900, 1.020977, , , , , , 
1643109674.534202, 0.900220, -9.004592, 1.462708, , , , , , 
1643109674.554135, 0.754174, -8.922890, 1.376516, , , , , , 
1643109674.574220, 0.613215, -9.016115, 1.454178, , , , , , 
1643109674.594184, 0.633266, -9.157522, 1.502212, , , , , , 
1643109674.613176, 0.550367, -9.521441, 1.695244, , , , , , 
1643109674.634225, 0.409259, -9.778219, 1.825429, , , , , , 
1643109674.654195, 0.280271, -10.053702, 1.632846, , , , , , 
1643109674.674268, 0.166098, -10.374974, 1.693598, , , , , , 
1643109674.693555, 0.210839, -10.476727, 1.965640, , , , , , 
1643109674.714199, 0.213234, -10.610204, 2.357391, , , , , , 
1643109674.734231, 0.362273, -10.483012, 2.542642, , , , , , 
1643109674.754135, 0.455796, -10.060884, 2.567033, , , , , , 
1643109674.774151, 0.284311, -9.543737, 2.311003, , , , , , 
1643109674.794187, -0.317681, -10.526706, 1.964742, , , , , , 
1643109674.814185, -0.694767, -12.203545, 2.489222, , , , , , 
1643109674.834223, -0.929549, -11.144261, 1.127220, , , , , , 
1643109674.854169, -0.740557, -10.531794, 1.407940, , , , , , 
1643109674.874211, -1.270872, -10.544962, 0.982969, , , , , , 
1643109674.894214, -1.719785, -10.649259, 1.231368, , , , , , 
1643109674.914188, -1.571195, -10.779743, 1.153407, , , , , , 
1643109674.934229, -1.189769, -10.890924, 1.126472, , , , , , 
1643109674.954191, -0.894085, -11.213842, 1.179444, , , , , , 
1643109674.973670, -0.708235, -11.111490, 1.085920, , , , , , 
1643109674.994189, -0.527772, -10.464008, 0.945111, , , , , , 
1643109675.014209, -0.513706, -9.563489, 1.116147, , , , , , 
1643109675.034219, -0.511312, -8.664167, 1.258003, , , , , , 
1643109675.054188, -0.567276, -7.967454, 1.538424, , , , , , 
1643109675.074187, -0.655562, -7.359028, 1.263540, , , , , , 
1643109675.094194, -0.562488, -7.200262, 1.118242, , , , , , 
